doc_id,block_id,inferred_block_type,caption_text,protect_reason,review_label,rationale,recommended_5d3_protection_pattern
doc_0324,p2_b0038,table_caption,Table 1. The OSF medium composed of 12.,short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0338,p9_b0092,table_caption,Table 1. Magnetic resonance imaging for the ROIs not shown in Figure 4.,short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0363,p5_b0023,table_caption,Table 1. Ingredient composition of milk replacers.,short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0380,p10_b0127,table_caption,Table S1: Characteristics of each population in this study.,short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0397,p17_b0295,table_caption,Table 3. Gibson Assembly® Kits offer many advantages over other cloning approaches.,short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0422,p4_b0051,table_caption,Table 2. 1H-NMR analysis of oligosaccharides 1-3 produced from lactose.,short_caption_with_semantic_anchor,correctly_protected,Contains semantic caption anchor(s): analysis.,semantic_anchor_words
doc_0438,p9_b0122,table_caption,Table 3. List of E.,short_caption_with_semantic_anchor,correctly_protected,Contains semantic caption anchor(s): list.,semantic_anchor_words
doc_0462,p17_b0255,table_caption,Table 8. As demonstrated for the enzymes from H.,short_caption_with_semantic_anchor,correctly_protected,"Contains semantic caption anchor(s): enzyme, enzymes.",semantic_anchor_words
doc_0488,p3_b0044,table_caption,"Table 1. Data were calculated ac- cording to 2-ΔΔCt method (Livak and Schmittgen, 2001).",short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0511,p1_b0013,table_caption,"Table 1. Unfortunately, the productivity of LNnT was still at a low level.",short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0565,p3_b0011,table_caption,"Table 2 Orthogonal design[L27(313)]and the results of experiment(x±s) 注:玉米秸秆的真蛋白含量为 2.05%,粗蛋白含量为 2.80%。 李日强等:固态发酵玉米秸秆生产饲料蛋白发酵培养基研究",short_caption_with_semantic_anchor,correctly_protected,Contains semantic caption anchor(s): design.,semantic_anchor_words
doc_0595,p11_b0125,table_caption,Table S1. Primers used in this study.,short_caption_with_semantic_anchor,correctly_protected,"Contains semantic caption anchor(s): primer, primers.",semantic_anchor_words
doc_0617,p7_b0085,table_caption,Table 1. The O/C ratio of RS is 0.,short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0675,p2_b0016,table_caption,"Table 1. List of S. cerevisiae Strains Used strain genotype source AM78 Mat α, PGal1-HMG2(K6R):: HO, ura3, trp1, his3, leu2:: PGal1-IDI1 Mat a/α, PGal1-HMG2(K6R):: HOX2, ura3, trp1, his3, PTDH3-HMG2(K6R)::leu2X2, ERG9/erg9 AM97 Mat a/α, PGal1-HMG2(K6R):: HOX2, ura3, trp1, his3, PTDH3-HMG2(K6R)::leu2X2, ERG9/erg9, UBC7/ubc7. Derived from AM94.",approved_eval_target_chunk,correctly_protected,Approved/known-good evidence should remain protected unless manually superseded.,approved_eval_or_known_good_anchor
doc_0707,p7_b0067,table_caption,Table 3 Antioxidative and antiradical capacities of the broths at 48 h.,short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0001,p3_b0027,figure_caption,Fig. 1. Chemical structures of three HMO types.,short_caption_with_semantic_anchor,correctly_protected,Contains semantic caption anchor(s): structure.,semantic_anchor_words
doc_0031,p23_b0222,figure_caption,Fig. 22. Reaction mechanism of the MurI enzyme.,short_caption_with_semantic_anchor,correctly_protected,Contains semantic caption anchor(s): enzyme.,semantic_anchor_words
doc_0059,p3_b0045,figure_caption,Fig. 1. Agarose gel electrophoresis of LF PCR products.,short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0080,p6_b0113,figure_caption,Fig. 3 The protein-specific polysialylation of NCAM and NRP-2.,short_caption_with_semantic_anchor,correctly_protected,Contains semantic caption anchor(s): protein.,semantic_anchor_words
doc_0114,p10_b0055,figure_caption,FIGURE 6 (See caption on next page),short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0132,p13_b0102,figure_caption,Figure S1. CAI plots of the 39 endogenous secretory SPs in P.,short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0142,p6_b0045,figure_caption,Fig. 3. Biochemical characteristics of the purified OUC-Jdch16 with pNP-α-fucose-hydrolyzing activity.,short_caption_with_semantic_anchor,correctly_protected,Contains semantic caption anchor(s): activity.,semantic_anchor_words
doc_0167,p6_b0067,figure_caption,Figure 4. Modular engineering of the LNT biosynthesis pathway.,short_caption_with_semantic_anchor,correctly_protected,"Contains semantic caption anchor(s): biosynthesis, pathway.",semantic_anchor_words
doc_0180,p14_b0096,figure_caption,Figure 4. Future emphases in microbial 2′-FL production.,short_caption_with_semantic_anchor,correctly_protected,Contains semantic caption anchor(s): production.,semantic_anchor_words
doc_0191,p9_b0101,figure_caption,Figure 6. Effect of setA knockout on LNnT and LNT production in 5 L bioreactors.,short_caption_with_semantic_anchor,correctly_protected,"Contains semantic caption anchor(s): effect, production.",semantic_anchor_words
doc_0203,p9_b0102,figure_caption,Figure 6. Effect of knocking out iclR on the synthesis of 2′-FL.,short_caption_with_semantic_anchor,correctly_protected,Contains semantic caption anchor(s): effect.,semantic_anchor_words
doc_0230,p6_b0042,figure_caption,"Fig. 4. A. Sequence alignment of Ev6ST, HAC1268, PdST1, St6119, and St6224. B-E. Docking conformations of CMP-Neu5Ac are shown and compared. Donor and Ev6ST are represented by purple and green, respectively. *P ≤ 0.05, **P ≤ 0.01, ***P ≤ 0.001.",approved_eval_target_chunk,correctly_protected,Approved/known-good evidence should remain protected unless manually superseded.,approved_eval_or_known_good_anchor
doc_0246,p8_b0082,figure_caption,Figure 6. In vitro biosynthesis of 3-FL via dual-enzyme catalysis.,short_caption_with_semantic_anchor,correctly_protected,"Contains semantic caption anchor(s): biosynthesis, enzyme.",semantic_anchor_words
doc_0284,p6_b0102,figure_caption,Fig. 2: with either sub- strate.,short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0309,p5_b0062,figure_caption,FIG. 2. Liberation of lacto-N-biose I from lacto-N-tetraose upon incubation with B.,short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0333,p6_b0098,figure_caption,Figure 4. Binding profiles and structural features of oligosaccharides in HMO fraction 46.,short_caption_with_semantic_anchor,correctly_protected,"Contains semantic caption anchor(s): profile, profiles.",semantic_anchor_words
doc_0355,p7_b0243,figure_caption,"Fig. 6 | De novo biosynthesis of xanthohumol. a Scheme of xanthohumol pro- duction from DMX by an O-methyltransferase (HlOMT1). b Overexpressing HlOMT1 and HlOMT1sc (codon-optimized for S. cerevisiae) for xanthohumol (XAN) pro- duction. All strains were cultivated in 100 mL shake flasks containing 20 mL of minimal medium. Mean values ± standard deviations are shown (n = 3 independent biological samples). Student’s t-test was used for comparing two groups (*p < 0.05, **p < 0.01, ***p < 0.001). Source data are provided as a Source Data file.",approved_eval_target_chunk,correctly_protected,Approved/known-good evidence should remain protected unless manually superseded.,approved_eval_or_known_good_anchor
doc_0382,p10_b0090,figure_caption,Figure S1. The SDS-PAGE analysis of cell extracts from single-gene expression strain.,short_caption_with_semantic_anchor,correctly_protected,"Contains semantic caption anchor(s): analysis, cell, expression, gene, strain.",semantic_anchor_words
doc_0397,p4_b0072,figure_caption,"Figure 1. (A) Key Discoveries Enabling Molecular Cloning, 1949–1977.",short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0426,p6_b0081,figure_caption,Figure 2. LN n T + B.,short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0449,p12_b0122,figure_caption,Figure 7. Sialic acids inhibit P[11] PRV 4555 infection at 8 h.,short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0463,p10_b0093,figure_caption,Figure 6. Schematic representation of 2′-FL production in engineered S.,short_caption_with_semantic_anchor,correctly_protected,"Contains semantic caption anchor(s): production, schematic.",semantic_anchor_words
doc_0481,p17_b0143,figure_caption,Fig. 5. Supplementation differentially affects immune cell subsets in responding patients.,short_caption_with_semantic_anchor,correctly_protected,Contains semantic caption anchor(s): cell.,semantic_anchor_words
doc_0510,p4_b0055,figure_caption,Figure 2. LC−MS analysis of LNT II and LNT biosynthesis in strain B1.,short_caption_with_semantic_anchor,correctly_protected,"Contains semantic caption anchor(s): analysis, biosynthesis, strain.",semantic_anchor_words
doc_0521,p12_b0104,figure_caption,Fig. 4 Metabolic pathway for 3-FL synthesis in engineered E. coli.,short_caption_with_semantic_anchor,correctly_protected,Contains semantic caption anchor(s): pathway.,semantic_anchor_words
doc_0573,p8_b0090,figure_caption,Figure 4. Engineering to produce mixed alcohols.,short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0607,p71_b0338,figure_caption,Figure 2-19: Relationship between differentt electrocatalytic conditions and mortality (A),short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0635,p12_b0065,figure_caption,Figure 8. Biosynthesis of sweet mogrosides using engineered S.,short_caption_with_semantic_anchor,correctly_protected,Contains semantic caption anchor(s): biosynthesis.,semantic_anchor_words
doc_0670,p4_b0065,figure_caption,Figure 1. CRISPR/Cas9 constructs used in this study.,short_caption_with_semantic_anchor,correctly_protected,"Contains semantic caption anchor(s): construct, constructs.",semantic_anchor_words
doc_0708,p12_b0035,figure_caption,"Figure 1.1 Composition and structure of lignocellulose(Bhujbal et al., 2021)",short_caption_with_semantic_anchor,correctly_protected,"Contains semantic caption anchor(s): cell, structure.",semantic_anchor_words
